type,topic,spanish,english,answer_or_form,explanation_or_example,status
flashcard,rank 66,considerar,to consider,,Vamos a considerar todas las opciones.,ok
flashcard,rank 67,oír,to hear,,Creo que puedo oír música lejos.,ok
flashcard,rank 68,acabar,to finish; to end,,Voy a acabar este libro esta semana.,ok
flashcard,rank 69,convertir,to convert; to turn into,,Quieren convertir la fábrica en un museo.,ok
flashcard,rank 70,ganar,to win; to earn,,El equipo quiere ganar el próximo partido.,ok
flashcard,rank 71,formar,to form,,Vamos a formar un equipo nuevo.,ok
flashcard,rank 72,traer,to bring,,¿Puedes traer el postre a la cena?,ok
flashcard,rank 73,partir,to leave; to depart,,El tren va a partir en unos minutos.,ok
flashcard,rank 74,morir,to die,,Nadie quiere morir joven.,ok
flashcard,rank 75,aceptar,to accept,,Voy a aceptar la oferta de trabajo.,ok
flashcard,rank 76,realizar,to carry out; to perform,,Queremos realizar un buen trabajo este trimestre.,ok
flashcard,rank 77,suponer,to suppose,,Voy a suponer que todo va bien.,ok
flashcard,rank 78,comprender,to understand,,Necesito comprender mejor este tema.,ok
flashcard,rank 79,lograr,to achieve,,Vamos a lograr terminar a tiempo.,ok
flashcard,rank 80,explicar,to explain,,El profesor va a explicar la lección de nuevo.,ok
flashcard,rank 81,preguntar,to ask,,Voy a preguntar la hora del tren.,ok
flashcard,rank 82,tocar,to touch; to play (instrument),,Mi hermana sabe tocar el piano.,ok
flashcard,rank 83,reconocer,to recognize,,Apenas pude reconocer la calle.,ok
flashcard,rank 84,estudiar,to study,,Carla estudia medicina en la universidad.,ok
flashcard,rank 85,alcanzar,to reach,,Vamos a alcanzar la meta este mes.,ok
flashcard,rank 86,nacer,to be born,,El bebé va a nacer en septiembre.,ok
flashcard,rank 87,dirigir,to direct; to manage,,Ella va a dirigir el nuevo proyecto.,ok
flashcard,rank 88,correr,to run,,Diego corre cinco kilómetros cada mañana.,ok
flashcard,rank 89,utilizar,to use,,Vamos a utilizar este programa para el informe.,ok
flashcard,rank 90,pagar,to pay,,Voy a pagar la cuenta con tarjeta.,ok
flashcard,rank 91,ayudar,to help,,Quiero ayudar a mis vecinos con la mudanza.,ok
flashcard,rank 92,gustar,to like,,A Marta le puede gustar esta canción.,ok
flashcard,rank 93,jugar,to play,,Los niños quieren jugar en el parque.,ok
flashcard,rank 94,escuchar,to listen,,Me gusta escuchar música mientras trabajo.,ok
flashcard,rank 95,cumplir,to fulfill; to comply,,Voy a cumplir mi promesa esta vez.,ok
flashcard,rank 96,ofrecer,to offer,,El hotel va a ofrecer un descuento este mes.,ok
flashcard,rank 97,descubrir,to discover,,Quiero descubrir pueblos nuevos este verano.,ok
flashcard,rank 98,levantar,to lift; to raise,,Necesito levantar esta caja pesada.,ok
flashcard,rank 99,intentar,to try; to attempt,,Voy a intentar terminar hoy mismo.,ok
flashcard,rank 100,usar,to use,,Puedes usar mi ordenador si quieres.,ok
flashcard,rank 101,decidir,to decide,,Tenemos que decidir el destino del viaje.,ok
flashcard,rank 102,repetir,to repeat,,El profesor va a repetir la pregunta.,ok
flashcard,rank 103,olvidar,to forget,,No quiero olvidar este momento.,ok
flashcard,rank 104,aprender,to learn,,Quiero aprender a tocar la guitarra.,ok
flashcard,rank 105,cerrar,to close,,Voy a cerrar la puerta con llave.,ok
flashcard,rank 106,comer,to eat,,Vamos a comer en aquel restaurante nuevo.,ok
flashcard,rank 107,cantar,to sing,,A mi hija le encanta cantar en el coro.,ok
flashcard,rank 108,bailar,to dance,,Vamos a bailar en la boda de mi prima.,ok
flashcard,rank 109,comprar,to buy,,Necesito comprar pan de camino a casa.,ok
flashcard,rank 110,vender,to sell,,Mis padres quieren vender la casa vieja.,ok
flashcard,rank 111,viajar,to travel,,Sueño con viajar por toda Sudamérica.,ok
flashcard,rank 112,caminar,to walk,,Prefiero caminar en vez de coger el autobús.,ok
flashcard,rank 113,conducir,to drive,,Todavía no sé conducir un coche manual.,ok
flashcard,rank 114,dormir,to sleep,,Necesito dormir ocho horas para rendir bien.,ok
flashcard,rank 115,beber,to drink,,Es importante beber suficiente agua.,ok
flashcard,rank 116,cocinar,to cook,,Me relaja cocinar los domingos.,ok
flashcard,rank 117,lavar,to wash,,Voy a lavar el coche este fin de semana.,ok
flashcard,rank 118,limpiar,to clean,,Tenemos que limpiar la cocina antes de salir.,ok
flashcard,rank 119,cortar,to cut,,Necesito cortar el pan para la cena.,ok
flashcard,rank 120,romper,to break,,"Ten cuidado, ese jarrón se puede romper.",ok
flashcard,rank 121,enviar,to send,,Voy a enviar el paquete mañana por la mañana.,ok
flashcard,rank 122,enseñar,to teach,,Mi tía enseña matemáticas en el instituto.,ok
flashcard,rank 123,mostrar,to show,,Te voy a mostrar las fotos del viaje.,ok
flashcard,rank 124,compartir,to share,,Me gusta compartir recetas con mis amigas.,ok
flashcard,rank 125,elegir,to choose,,Tenemos que elegir un nombre para el perro.,ok
flashcard,rank 126,incluir,to include,,El precio va a incluir el desayuno.,ok
flashcard,rank 127,excluir,to exclude,,Esta oferta va a excluir los fines de semana.,ok
flashcard,rank 128,mejorar,to improve,,Quiero mejorar mi pronunciación en español.,ok
flashcard,rank 129,empeorar,to get worse,,El tiempo puede empeorar por la tarde.,ok
flashcard,rank 130,crecer,to grow,,Esta planta va a crecer muy rápido.,ok
flashcard,rank 131,reducir,to reduce,,Queremos reducir el gasto este mes.,ok
flashcard,rank 132,aumentar,to increase,,La empresa va a aumentar los precios.,ok
flashcard,rank 133,bajar,to go down; to lower,,Voy a bajar la música un poco.,ok
flashcard,rank 134,subir,to go up; to raise,,Vamos a subir la montaña este sábado.,ok
flashcard,rank 135,regresar,to return,,Espero regresar antes de que oscurezca.,ok
flashcard,rank 136,permanecer,to remain,,Vamos a permanecer aquí unos días más.,ok
flashcard,rank 137,mover,to move,,Necesito mover el sofá de sitio.,ok
flashcard,rank 138,parar,to stop,,El autobús va a parar en la próxima esquina.,ok
flashcard,rank 139,continuar,to continue,,Vamos a continuar la clase después del descanso.,ok
flashcard,rank 140,preparar,to prepare,,Voy a preparar la cena esta noche.,ok
flashcard,rank 141,responder,to answer,,Voy a responder tu mensaje enseguida.,ok
flashcard,rank 142,añadir,to add,,Puedes añadir más sal si quieres.,ok
flashcard,rank 143,quitar,to remove,,Voy a quitar el polvo de la estantería.,ok
flashcard,rank 144,quitarse,to take off,,Voy a quitarme los zapatos al entrar.,ok
flashcard,rank 145,vestir,to dress,,Mi madre suele vestir muy elegante.,ok
flashcard,rank 146,llevarse,to take away; to get along,,Voy a llevarme el paraguas por si acaso.,ok
flashcard,rank 147,levantarse,to get up,,Suelo levantarme a las siete cada día.,ok
flashcard,rank 148,sentarse,to sit down,,Vamos a sentarnos cerca de la ventana.,ok
flashcard,rank 149,acostarse,to go to bed,,Los niños van a acostarse a las nueve.,ok
flashcard,rank 150,despertarse,to wake up,,Suelo despertarme antes de que suene el despertador.,ok
flashcard,rank 151,ducharse,to shower,,Voy a ducharme antes de salir.,ok
flashcard,rank 152,bañarse,to bathe,,A los niños les encanta bañarse en el mar.,ok
flashcard,rank 153,peinarse,to comb one's hair,,Voy a peinarme antes de la entrevista.,ok
flashcard,rank 154,afeitarse,to shave,,Mi padre suele afeitarse cada mañana.,ok
flashcard,rank 155,casar,to marry (someone),,El sacerdote va a casar a la pareja el sábado.,ok
flashcard,rank 156,casarse,to get married,,Mis amigos van a casarse en junio.,ok
flashcard,rank 157,reunir,to gather,,Vamos a reunir a toda la familia este año.,ok
flashcard,rank 158,reunirse,to meet; to get together,,Vamos a reunirnos el lunes para hablar del proyecto.,ok
flashcard,rank 159,encontrarse,to meet; to find oneself,,Solemos encontrarnos en la misma cafetería.,ok
flashcard,rank 160,preocupar,to worry,,Ese ruido raro me empieza a preocupar.,ok
flashcard,rank 161,preocuparse,to worry; to become worried,,No hace falta preocuparse tanto por eso.,ok
flashcard,rank 162,ocupar,to occupy,,Esta caja va a ocupar mucho espacio.,ok
flashcard,rank 163,ocuparse,to take care of; to deal with,,Yo me voy a ocupar de las reservas.,ok
flashcard,rank 164,llamarse,to be called,,Mi sobrina se llama Sofía.,ok
flashcard,rank 165,sentirse,to feel,,Espero sentirme mejor mañana.,ok
flashcard,rank 166,acordar,to agree,,Vamos a acordar una fecha para la reunión.,ok
flashcard,rank 167,acordarse,to remember,,No consigo acordarme de su nombre.,ok
flashcard,rank 168,olvidarse,to forget,,Espero no olvidarme las llaves otra vez.,ok
flashcard,rank 169,contestar,to answer,,Voy a contestar el correo por la tarde.,ok
flashcard,rank 170,describir,to describe,,Voy a describir la casa con detalle.,ok
flashcard,rank 171,comparar,to compare,,Vamos a comparar los dos presupuestos.,ok
flashcard,rank 172,cambiarse,to change clothes; to move,,Voy a cambiarme antes de salir a cenar.,ok
flashcard,rank 173,probar,to try; to test,,Quiero probar este plato nuevo del menú.,ok
flashcard,rank 174,prohibir,to prohibit,,Van a prohibir fumar en la terraza.,ok
flashcard,rank 175,obligar,to force; to oblige,,Nadie te va a obligar a decidir hoy.,ok
flashcard,rank 176,recomendar,to recommend,,Te voy a recomendar un buen restaurante.,ok
flashcard,rank 177,aconsejar,to advise,,Mi médico me suele aconsejar caminar más.,ok
flashcard,rank 178,sugerir,to suggest,,Voy a sugerir otra fecha para la cita.,ok
flashcard,rank 179,invitar,to invite,,Vamos a invitar a todos nuestros primos.,ok
flashcard,rank 180,rechazar,to reject,,Decidí rechazar la oferta de trabajo.,ok
flashcard,rank 181,negar,to deny,,No puedo negar que estoy nervioso.,ok
flashcard,rank 182,afirmar,to affirm,,El testigo va a afirmar lo que vio.,ok
flashcard,rank 183,prometer,to promise,,Te prometo llamarte en cuanto llegue.,ok
flashcard,rank 184,fallar,to fail,,El plan no puede fallar esta vez.,ok
flashcard,rank 185,ahorrar,to save (money),,Quiero ahorrar dinero para el viaje.,ok
flashcard,rank 186,gastar,to spend,,No quiero gastar demasiado en regalos.,ok
flashcard,rank 187,cobrar,to charge; to collect,,El taller va a cobrar la reparación mañana.,ok
flashcard,rank 188,costar,to cost,,El viaje puede costar más de cien euros.,ok
flashcard,rank 189,valer,to be worth,,Este reloj puede valer mucho dinero.,ok
flashcard,rank 190,preferir,to prefer,,Prefiero viajar en tren.,ok
flashcard,rank 191,odiar,to hate,,Odio esperar en filas largas.,ok
flashcard,rank 192,amar,to love,,Es fácil amar este lugar.,ok
flashcard,rank 193,encantar,to delight; to love,,A los niños les va a encantar el museo.,ok
flashcard,rank 194,molestar,to bother,,El ruido puede molestar a los vecinos.,ok
flashcard,rank 195,importar,to matter,,Lo que piensas puede importar mucho.,ok
flashcard,rank 196,faltar,to be missing; to lack,,Puede faltar una pieza.,ok
flashcard,rank 197,doler,to hurt,,Me puede doler la espalda después del viaje.,ok
flashcard,rank 198,aburrir,to bore,,La película puede aburrir a los niños.,ok
flashcard,rank 199,divertir,to entertain,,El juego puede divertir a toda la familia.,ok
flashcard,rank 200,interesar,to interest,,Este tema puede interesar a los estudiantes.,ok
flashcard,rank 201,sorprender,to surprise,,La respuesta puede sorprenderte.,ok
flashcard,rank 202,cansar,to tire,,Caminar tanto puede cansar a cualquiera.,ok
flashcard,rank 203,alegrar,to cheer up,,La noticia puede alegrar a tu madre.,ok
flashcard,rank 204,entristecer,to sadden,,La despedida puede entristecer a todos.,ok
flashcard,rank 205,asustar,to scare,,Ese ruido puede asustar al perro.,ok
flashcard,rank 206,enfadar,to anger,,Esa broma le puede enfadar un poco.,ok
flashcard,rank 207,calmar,to calm,,Un té caliente puede calmar los nervios.,ok
flashcard,rank 208,relajar,to relax,,Escuchar música me ayuda a relajar la mente.,ok
flashcard,rank 209,temer,to fear,,No debes temer el cambio.,ok
flashcard,rank 210,confiar,to trust,,Puedes confiar en ella.,ok
flashcard,rank 211,dudar,to doubt,,Es normal dudar al principio.,ok
flashcard,rank 212,planear,to plan,,Vamos a planear el viaje con calma.,ok
flashcard,rank 213,organizar,to organize,,Necesito organizar mi escritorio hoy.,ok
flashcard,rank 214,reservar,to reserve; to book,,Voy a reservar una mesa para dos.,ok
flashcard,rank 215,cancelar,to cancel,,Tuvimos que cancelar la reserva del hotel.,ok
flashcard,rank 216,visitar,to visit,,Queremos visitar a mis abuelos este fin de semana.,ok
flashcard,rank 217,explorar,to explore,,Nos encanta explorar pueblos pequeños.,ok
flashcard,rank 218,quedarse,to stay,,Vamos a quedarnos en casa este fin de semana.,ok
flashcard,rank 219,alojar,to lodge,,El hotel puede alojar hasta cien personas.,ok
flashcard,rank 220,alojarse,to stay; to lodge,,Vamos a alojarnos cerca del centro.,ok
flashcard,rank 221,volar,to fly,,Vamos a volar directamente a Madrid.,ok
flashcard,rank 222,montar,to ride; to mount,,A mi hijo le gusta montar en bicicleta.,ok
flashcard,rank 223,nadar,to swim,,Marta nada todas las mañanas en la piscina.,ok
flashcard,rank 224,andar,to walk; to go,,Prefiero andar en vez de coger el coche.,ok
flashcard,rank 225,pasear,to stroll,,Nos gusta pasear por la playa al atardecer.,ok
flashcard,rank 226,cruzar,to cross,,Vamos a cruzar el puente a pie.,ok
flashcard,rank 227,girar,to turn,,Tienes que girar a la derecha en la próxima calle.,ok
flashcard,rank 228,detener,to stop; to detain,,La policía va a detener el tráfico un momento.,ok
flashcard,rank 229,detenerse,to stop oneself,,El coche se va a detener en el semáforo.,ok
flashcard,rank 230,aparcar,to park,,Voy a aparcar cerca de la entrada.,ok
flashcard,rank 231,arrancar,to start (engine),,El coche no quiere arrancar esta mañana.,ok
flashcard,rank 232,frenar,to brake,,Tuve que frenar de golpe en el cruce.,ok
flashcard,rank 233,acelerar,to accelerate,,No hace falta acelerar tanto en esta curva.,ok
flashcard,rank 234,saltar,to jump,,El perro puede saltar la valla del jardín.,ok
flashcard,rank 235,lanzar,to throw,,Van a lanzar el nuevo producto en abril.,ok
flashcard,rank 236,tirar,to throw; to pull,,Voy a tirar estas cajas viejas.,ok
flashcard,rank 237,recoger,to pick up,,Voy a recoger a los niños del colegio.,ok
flashcard,rank 238,guardar,to keep; to save,,Voy a guardar estos documentos en el cajón.,ok
flashcard,rank 239,hallar,to find,,Espero hallar una solución pronto.,ok
flashcard,rank 240,esconder,to hide,,Vamos a esconder los regalos antes de la fiesta.,ok
flashcard,rank 241,esconderse,to hide oneself,,El gato suele esconderse debajo del sofá.,ok
flashcard,rank 242,observar,to observe,,Nos gusta observar los pájaros en el parque.,ok
flashcard,rank 243,oler,to smell,,La cocina huele a pan recién hecho.,ok
flashcard,rank 244,comentar,to comment,,Vamos a comentar el libro en clase.,ok
flashcard,rank 245,conversar,to converse,,Nos gusta conversar tomando un café.,ok
flashcard,rank 246,discutir,to discuss; to argue,,No quiero discutir por algo tan pequeño.,ok
flashcard,rank 247,gritar,to shout,,El entrenador no necesita gritar tanto.,ok
flashcard,rank 248,susurrar,to whisper,,Me gusta susurrar el secreto a mi hermana.,ok
flashcard,rank 249,firmar,to sign,,Voy a firmar el contrato esta tarde.,ok
flashcard,rank 250,copiar,to copy,,Necesito copiar estos apuntes para el examen.,ok
flashcard,rank 251,borrar,to erase; to delete,,Voy a borrar estos archivos antiguos.,ok
flashcard,rank 252,dibujar,to draw,,A mi hijo le encanta dibujar animales.,ok
flashcard,rank 253,pintar,to paint,,Queremos pintar el salón de otro color.,ok
flashcard,rank 254,imprimir,to print,,Voy a imprimir los billetes esta noche.,ok
flashcard,rank 255,publicar,to publish,,Vamos a publicar el artículo la próxima semana.,ok
flashcard,rank 256,encender,to turn on,,Voy a encender la luz de la cocina.,ok
flashcard,rank 257,apagar,to turn off,,No olvides apagar el ordenador al salir.,ok
flashcard,rank 258,conectar,to connect,,Necesito conectar el portátil al proyector.,ok
flashcard,rank 259,desconectar,to disconnect,,Voy a desconectar el router un momento.,ok
flashcard,rank 260,cargar,to load; to charge,,Voy a cargar el móvil antes de salir.,ok
flashcard,rank 261,descargar,to download,,Necesito descargar la aplicación primero.,ok
flashcard,rank 262,instalar,to install,,Vamos a instalar el programa nuevo mañana.,ok
flashcard,rank 263,actualizar,to update,,Tengo que actualizar el sistema esta noche.,ok
flashcard,rank 264,reparar,to repair,,El técnico va a reparar la lavadora mañana.,ok
flashcard,rank 265,funcionar,to work; to function,,Espero que la impresora vuelva a funcionar.,ok
flashcard,rank 266,seleccionar,to select,,Vamos a seleccionar tres candidatos.,ok
flashcard,rank 267,pulsar,to press,,Solo tienes que pulsar este botón.,ok
flashcard,rank 268,clicar,to click,,Vas a tener que clicar en el enlace.,ok
flashcard,rank 269,navegar,to browse,,Me gusta navegar por internet por las tardes.,ok
flashcard,rank 270,eliminar,to delete,,Voy a eliminar el correo por error.,ok
flashcard,rank 271,editar,to edit,,Necesito editar estas fotos antes de enviarlas.,ok
flashcard,rank 272,revisar,to review,,Voy a revisar el informe una vez más.,ok
flashcard,rank 273,comprobar,to check,,Vamos a comprobar que todo funciona bien.,ok
flashcard,rank 274,medir,to measure,,Necesito medir la puerta antes de comprar la mesa.,ok
flashcard,rank 275,calcular,to calculate,,Voy a calcular el precio total del viaje.,ok
flashcard,rank 276,sumar,to add,,Vamos a sumar todos los gastos del mes.,ok
flashcard,rank 277,restar,to subtract,,Tienes que restar el descuento del precio final.,ok
flashcard,rank 278,multiplicar,to multiply,,Los niños están aprendiendo a multiplicar.,ok
flashcard,rank 279,dividir,to divide,,Vamos a dividir la tarta en ocho trozos.,ok
flashcard,rank 280,ordenar,to order; to sort,,Necesito ordenar mi habitación este fin de semana.,ok
flashcard,rank 281,clasificar,to classify,,Vamos a clasificar los libros por tema.,ok
flashcard,rank 282,agrupar,to group,,Podemos agrupar las preguntas por dificultad.,ok
flashcard,rank 283,mezclar,to mix,,Vas a mezclar la harina con el azúcar.,ok
flashcard,rank 284,separar,to separate,,Vamos a separar la ropa de color y la blanca.,ok
flashcard,rank 285,pegar,to paste; to glue,,Voy a pegar el cartel en la pared.,ok
flashcard,rank 286,unir,to join,,Vamos a unir las dos empresas el año que viene.,ok
flashcard,rank 287,llenar,to fill,,Voy a llenar la botella de agua.,ok
flashcard,rank 288,vaciar,to empty,,Tenemos que vaciar el armario antes de la mudanza.,ok
flashcard,rank 289,cubrir,to cover,,Vamos a cubrir el jardín con una lona.,ok
flashcard,rank 290,pausar,to pause,,Voy a pausar la serie y seguir mañana.,ok
flashcard,rank 291,reiniciar,to restart,,Voy a reiniciar el ordenador para ver si funciona.,ok
flashcard,rank 292,practicar,to practice,,Necesito practicar español todos los días.,ok
flashcard,rank 293,memorizar,to memorize,,Tengo que memorizar estos verbos para el examen.,ok
flashcard,rank 294,imaginar,to imagine,,No puedo imaginar la ciudad sin ese parque.,ok
flashcard,rank 295,soñar,to dream,,Me gusta soñar con viajes largos.,ok
flashcard,rank 296,desear,to wish; to desire,,Todos podemos desear algo mejor.,ok
flashcard,rank 297,evitar,to avoid,,Prefiero evitar las horas punta en el metro.,ok
flashcard,rank 298,tener,to have,,Quiero tener más tiempo libre.,ok
flashcard,rank 299,convertirse,to become,,La idea puede convertirse en un proyecto.,ok
flashcard,rank 300,disminuir,to decrease,,Las ventas van a disminuir este trimestre.,ok
flashcard,rank 301,desarrollar,to develop,,Vamos a desarrollar una nueva estrategia.,ok
flashcard,rank 302,construir,to build,,Van a construir un puente nuevo aquí.,ok
flashcard,rank 303,destruir,to destroy,,La tormenta pudo destruir varias casas.,ok
flashcard,rank 304,fabricar,to manufacture,,Esta fábrica va a fabricar piezas de coche.,ok
flashcard,rank 305,alquilar,to rent,,Queremos alquilar un piso cerca del centro.,ok
flashcard,rank 306,devolver,to return; to give back,,Tengo que devolver este libro a la biblioteca.,ok
flashcard,rank 307,prestar,to lend,,¿Me puedes prestar tu paraguas?,ok
flashcard,rank 308,mandar,to send; to order,,Voy a mandar la carta esta tarde.,ok
flashcard,rank 309,entregar,to deliver,,Tengo que entregar el proyecto el viernes.,ok
flashcard,rank 310,invertir,to invest,,Queremos invertir en un negocio pequeño.,ok
flashcard,rank 311,descansar,to rest,,Necesito descansar un poco esta tarde.,ok
flashcard,rank 312,despertar,to wake,,El café me va a despertar por fin.,ok
flashcard,rank 313,sentar,to seat; to sit someone down,,Voy a sentar al bebé en la trona.,ok
flashcard,rank 314,acostar,to put to bed,,Esta noche voy a acostar a los niños temprano.,ok
flashcard,rank 315,vestirse,to get dressed,,Voy a vestirme antes de que lleguen.,ok
flashcard,rank 316,desnudar,to undress,,La enfermera va a desnudar al paciente para la revisión.,ok
flashcard,rank 317,desnudarse,to get undressed,,El niño se va a desnudar para el baño.,ok
flashcard,rank 318,lavarse,to wash oneself,,Voy a lavarme las manos antes de comer.,ok
flashcard,rank 319,duchar,to shower someone; to shower,,Voy a duchar al perro después del paseo.,ok
flashcard,rank 320,bañar,to bathe someone,,Voy a bañar al bebé antes de dormir.,ok
flashcard,rank 321,peinar,to comb,,Voy a peinar a mi hija para el colegio.,ok
flashcard,rank 322,afeitar,to shave,,El barbero va a afeitar al cliente con cuidado.,ok
flashcard,rank 323,maquillar,to put makeup on,,Mi amiga va a maquillar a la novia el día de la boda.,ok
flashcard,rank 324,maquillarse,to put on makeup,,Voy a maquillarme antes de la fiesta.,ok
flashcard,rank 325,desayunar,to have breakfast,,Solemos desayunar juntos los domingos.,ok
flashcard,rank 326,almorzar,to have lunch,,Vamos a almorzar en aquel restaurante cerca de la oficina.,ok
flashcard,rank 327,cenar,to have dinner,,Vamos a cenar temprano hoy.,ok
flashcard,rank 328,merendar,to have a snack,,A los niños les gusta merendar fruta después del colegio.,ok
flashcard,rank 329,calentar,to heat,,Voy a calentar la sopa para la cena.,ok
flashcard,rank 330,enfriar,to cool,,Vamos a dejar enfriar el pastel antes de cortarlo.,ok
flashcard,rank 331,hervir,to boil,,Voy a hervir agua para el té.,ok
flashcard,rank 332,freír,to fry,,Voy a freír unos huevos para el desayuno.,ok
flashcard,rank 333,hornear,to bake,,Vamos a hornear galletas este fin de semana.,ok
flashcard,rank 334,pelar,to peel,,Necesito pelar las patatas para la tortilla.,ok
flashcard,rank 335,echar,to throw in; to add,,Voy a echar un poco más de sal a la sopa.,ok
flashcard,rank 336,secar,to dry,,Voy a secar la ropa antes de guardarla.,ok
flashcard,rank 337,planchar,to iron,,Tengo que planchar estas camisas para el viaje.,ok
flashcard,rank 338,barrer,to sweep,,Voy a barrer la cocina después de cenar.,ok
flashcard,rank 339,fregar,to scrub; to mop,,Me toca fregar los platos esta noche.,ok
flashcard,rank 340,arreglar,to fix; to arrange,,Necesito arreglar la bicicleta este fin de semana.,ok
flashcard,rank 341,reciclar,to recycle,,Intentamos reciclar todo el vidrio y el papel.,ok
flashcard,rank 342,plantar,to plant,,Vamos a plantar tomates en el jardín.,ok
